TD Ameritrade CFRA 5 STARS Stocks,
Company Name,Symbol
AerCap Holdings,AER
Air Products and,APD
Alaska Air Group,ALK
Alimentation Cou,ATD
"ANSYSInc.",ANSS
Applied Material,AMAT
ASML Holding N.V,ASML
Atlassian Corpor,TEAM
"AutodeskInc.",ADSK
"AutoNationInc.",AN
Ball Corporation,BLL
"BlackRockInc.",BLK
Broadcom Inc.,AVGO
Cadence Design S,CDNS
Carpenter Techno,CRS
"Carter'sInc.",CRI
"Cisco SystemsI",CSCO
Cleveland-Cliffs,CLF
Commvault System,CVLT
"CrocsInc.",CROX
CrowdStrike Hold,CRWD
Cummins Inc.,CMI
"D.R. HortonInc",DHI
"Delta Air Lines,",DAL
DuPont de Nemour,DD
East West Bancor,EWBC
FedEx Corporatio,FDX
"Five BelowInc.",FIVE
Ford Motor Compa,F
Fortune Brands H,FBHS
Freeport-McMoRan,FCX
Genpact Limited,G
Group 1 Automoti,GPI
HSBC Holdings pl,HSBC
Huntsman Corpora,HUN
KLA Corporation,KLAC
Knight-Swift Tra,KNX
Lennar Corporati,LEN
Lumentum Holding,LITE
Manhattan Associ,MANH
"Merck & Co.Inc",MRK
Meritage Homes C,MTH
Microsoft Corpor,MSFT
"MKS Instruments,",MKSI
MP Materials Cor,MP
National Retail,NNN
NICE Ltd.,NICE
Olin Corporation,OLN
Ovintiv Inc.,OVV
PACCAR Inc,PCAR
Palo Alto Networ,PANW
Pfizer Inc.,PFE
Pitney Bowes Inc,PBI
PTC Inc.,PTC
"Quanta Services,",PWR
Rambus Inc.,RMBS
Robert Half Inte,RHI
Roblox Corporati,RBLX
"salesforce.com,",CRM
"ServiceNowInc.",NOW
Signature Bank,SBNY
Southwest Airlin,LUV
Spirit AeroSyste,SPR
Spotify Technolo,SPOT
State Street Cor,STT
Summit Materials,SUM
"SynopsysInc.",SNPS
Sysco Corporatio,SYY
"T-Mobile USInc",TMUS
Taiwan Semicondu,TSM
Targa Resources,TRGP
Teck Resources L,TECK
"TeslaInc.",TSLA
The Boeing Compa,BA
The Charles Schw,SCHW
The Chemours Com,CC
The Goldman Sach,GS
The TJX Companie,TJX
Twilio Inc.,TWLO
United Airlines,UAL
UnitedHealth Gro,UNH
Unity Software I,U
V.F. Corporation,VFC
